filename,error
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__12_brunette.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__12_brunette.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__w3ll_people__optimist_lipstick__soul_mate.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__w3ll_people__optimist_lipstick__soul_mate.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__fixing_tint_bar__1_lively_red.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__fixing_tint_bar__1_lively_red.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__pink_shy_fixing_tint__vine_pink.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__pink_shy_fixing_tint__vine_pink.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__09_very_berry_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__09_very_berry_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__11_wedding_peach_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__11_wedding_peach_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__15_peach_tatin.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__15_peach_tatin.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__hyde_khaki_fixing_tint__hazelnut_mauve.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__hyde_khaki_fixing_tint__hazelnut_mauve.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__10_dont_pink_of_it.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__10_dont_pink_of_it.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__hera__sensual_powder_matte_liquid_lipstick__435_pampas.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__hera__sensual_powder_matte_liquid_lipstick__435_pampas.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_water_tint__7_prune_ade.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_water_tint__7_prune_ade.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__03_hyppink_chic.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__03_hyppink_chic.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__13_nohalicious.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__13_nohalicious.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bossy_cosmetics__bullet_lipstick__experienced.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bossy_cosmetics__bullet_lipstick__experienced.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__16_caramelody.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__16_caramelody.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__04_hip_hip_pink.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__04_hip_hip_pink.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__10_magnifig.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__10_magnifig.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__01_green_peppermint_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__01_green_peppermint_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__14_brownette.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__14_brownette.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__03_hot_pepper.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__03_hot_pepper.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__09_fuchsia_botte.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__09_fuchsia_botte.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__02_frambourjoise.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__02_frambourjoise.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__hera__sensual_powder_matte_liquid_lipstick__499_rosy_suede.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__hera__sensual_powder_matte_liquid_lipstick__499_rosy_suede.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_marker_tint__06_grape_soda.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__dear_darling_marker_tint__06_grape_soda.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__wet_n_wild__rose_comforting_lip_color__soft_n_juicy.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__wet_n_wild__rose_comforting_lip_color__soft_n_juicy.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__04_sweet_orange_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__04_sweet_orange_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__07_dried_rose_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__07_dried_rose_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__02_flamingrose.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__02_flamingrose.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__not_bad_color_lasting_glow_stick__07_rosy_taupe.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__not_bad_color_lasting_glow_stick__07_rosy_taupe.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__05_wild_hibiscus.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__05_wild_hibiscus.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__not_bad_color_lasting_glow_stick__08_muted_brown.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__not_bad_color_lasting_glow_stick__08_muted_brown.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__11_so_happink.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__11_so_happink.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__12_beau_brun.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__12_beau_brun.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__09_happy_nude_year.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_edition_velvet_liquid_lipstick__09_happy_nude_year.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__07_joli_carminois.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__07_joli_carminois.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__fixing_tint_bar__5_mauve_pink.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__etude__fixing_tint_bar__5_mauve_pink.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__08_sunkissed_cherry_tea.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__innisfree__my_lip_balm__08_sunkissed_cherry_tea.png'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__01_hey_nude.jpg,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__bourjois__rouge_velvet_the_lipstick__01_hey_nude.jpg'
/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__ciate_london__disco_nap_lip_mask__.png,cannot identify image file '/Users/connie/dev/lipstick_color_extraction/data/img/original/lipstick__ciate_london__disco_nap_lip_mask__.png'
