brand,product,shade,cielab
lime crime,plushies liquid lipstick,marmalade,"[74.1891228231359, 22.07019159581458, 7.2693794148842805]"
mac cosmetics,powder kiss lipstick,mull it over,"[53.51465575545322, 9.470942131771466, 2.656915744110022]"
melt cosmetics,ultra matte lipstick,summer!,"[36.86054515022528, 5.512020070719659, -0.40861078744002244]"
nyx professional makeup,soft matte lip cream,kyoto,"[53.8577102630106, 22.450262724913905, 12.606159755774371]"
pat mcgrath labs,liquilust: legendary wear matte lipstick,nude cabaret,"[72.48626564756135, 16.64090114025346, 9.736321840555107]"
persona,daymask peptide lip balm,june,"[76.81472277324116, 15.92353601018659, 14.331075853279662]"
rare beauty by selena gomez,with gratitude dewy lip balm,praise,"[70.51731816516987, 33.45266314366563, 13.286679056565376]"
rokael beauty,refined gold velvet lip creme,destined,"[41.7821422702508, 37.92273263882107, 20.43923198676869]"
sephora collection,rouge lacquer lipstick,27 strong as helle,"[53.615522588800616, 5.44753741096049, 2.026963325479736]"
ultra violette,sheen screen spf50 hydrating lip balm,peach,"[70.51599848164955, 11.925202352663089, -6.239626850194235]"
anastasia beverly hills,liquid lipstick,jealousy,"[55.26818825921988, 12.725493068723615, 1.3411834191198624]"
bareminerals,mineralist hydra-smoothing lipstick,presence,"[64.99327343655558, 8.534296827957643, 11.544360917509543]"
bodyography,lip vapour,moonlit mauve,"[44.58181502760545, 24.343250452062037, 6.696146608301989]"
buxom,full force plumping lipstick,dolly dreamer,"[48.11746344371774, 4.261825450144419, -0.5580646846072623]"
colourpop,lippie stix,cami,"[66.7836977945739, 18.085790835719983, 5.266811973300989]"
colourpop,lippie stix,happy thoughts,"[67.70978012649414, 19.0328647830022, -1.7954435318299211]"
estée lauder,pure color matte lipstick,809 secret sandal,"[65.24183537446817, 12.648021563777922, 1.4524371925010326]"
estée lauder,sabyasachi limited edition matte lipstick,apricot silk,"[64.24302155621898, 17.10571940130412, 10.841413589920323]"
lime crime,matte velvetine lipstick,trinity,"[60.50421771335165, 34.50321968048209, 10.9293298428496]"
mac cosmetics,lustre lipstick,midimauve,"[32.33408189118688, 4.851325851715993, 0.6506185788246688]"
mac cosmetics,viva glam lipstick,viva glam ii,"[37.128158503274335, 28.33537998489885, 8.191139683781845]"
milk makeup,lip color,hype,"[73.1955280042212, 7.520354748167868, -0.750625931775617]"
mob beauty,soft matte lipstick,m93,"[61.89297838254164, 41.139110062461235, 12.483383823611494]"
nars,air matte liquid lipstick,chaser,"[34.05056928627344, 14.491079828337277, 1.230654970927636]"
natasha denona,i need a nude lipstick,23p averyl,"[60.50974189786963, 9.338825755571989, -0.2441981785172631]"
nyx professional makeup,soft matte lip cream,cannes,"[53.0241689232018, 16.337941339385875, 4.203643858155015]"
pat mcgrath labs,blitztrance lipstick,lady stardust,"[70.54212043284943, 4.817275096007267, 10.590901626810023]"
pretty vulgar,my lips are sealed liquid lipstick,artful deception,"[65.4225783831705, 9.847694370494375, 4.681076522501582]"
rare beauty by selena gomez,lip souffle matte cream lipstick,courage,"[64.10094372613226, 26.440169477784714, 14.55860244591154]"
sephora collection,rouge lacquer lipstick,17 rise above,"[56.25201419575946, 2.848569221683972, 0.10960661722869691]"
ulta,lasting color lip gloss stain,monarchy,"[54.92744617534868, 10.314092621354353, 1.0764022637737236]"
ultra violette,sheen screen spf50 hydrating lip balm,rose,"[54.520293677024014, 39.70604332929328, 13.346620102253691]"
wonderskin,wonder blading lip stain masque,bella,"[51.01496188949368, 49.09383756281693, 8.19965596961767]"
yves saint laurent,tatouage couture liquid matte lip stain,26 neutral underground,"[57.94535369131037, 8.209233124819082, 14.027227726480994]"
bodyography,fabric texture lipstick,chiffon,"[22.096105735839963, 2.0900686062309273, -2.251402956509352]"
bodyography,fabric texture lipstick,silk,"[34.903148417076274, 3.0472256125572694, -1.7457106400321942]"
lancôme,l'absolu lacquer long-lasting liquid lipstick,308 let me shine,"[33.9295815283195, 4.274120700479528, 2.3184665261341775]"
smashbox,always on cream to matte lipstick,promoted,"[40.45194756156575, 1.196856286077963, -1.5952111296755889]"
anastasia beverly hills,lip velvet full-pigment lip mousse,peach amber,"[61.887758774205835, 24.84783132951224, 23.521952197228302]"
charlotte tilbury,matte revolution lipstick,catwalking,"[54.57026791308067, 27.27182442820364, 24.851096464145506]"
ciatè london,wonderwand lipstick,dreamer,"[72.82378572911428, 17.288239450692856, 17.124186658205698]"
dapop,lipstick,balbina,"[54.40279915231784, 23.181045840985682, 16.3705913011591]"
dose of colors,liquid matte lipstick,sweet & sassy,"[50.416852504262394, 16.772241260657573, 10.121875115686695]"
estée lauder,pure color explicit slick shine lipstick,903 wrong number,"[63.46349103448617, 20.770000338637907, 9.919300766783511]"
estée lauder,pure color illuminating shine lipstick,dreamlike 904,"[65.13364944089889, 38.676953284224766, 21.91311998109706]"
haus labs by lady gaga,le monster lip crayon vegan lipstick and lip liner,peach matte,"[61.50153716336395, 11.762244159803203, 15.057980167041585]"
mented cosmetics,semi-matte lipstick,peach please,"[43.45780207315523, 11.082951916656924, 6.656138395702527]"
revlon,super lustrous lipstick,415 pink in the afternoon,"[58.60838264288262, 38.45494003692457, 15.70271330440709]"
revlon,super lustrous lipstick,423 pink velvet,"[49.30746503458762, 5.064794489035574, 8.706855452861628]"
simihaze beauty,velvet blur matte lipstick balm,mist,"[55.97822020258272, 20.5314010781395, 10.768474670273086]"
sunnies face,lip dip,peachy kinda,"[58.41176422899338, 49.705697367878386, 32.29155551853925]"
